onset	duration	trial_type
0	20	rest
20	20	checkerboard
40	20	rest
60	20	checkerboard
80	20	rest
100	20	checkerboard
120	20	rest
140	20	checkerboard
160	20	rest
180	20	checkerboard
200	20	rest
220	20	checkerboard
240	20	rest
