onset	duration	trial_type
0	12	rest
12	12	center
24	12	rest
36	12	left
48	12	rest
60	12	right
72	12	rest
84	12	center
96	12	rest
108	12	left
120	12	rest
132	12	right
144	12	rest
156	12	center
168	12	rest
180	12	left
192	12	rest
204	12	right
216	12	rest
228	12	center
240	12	rest
252	12	left
264	12	rest
276	12	right
288	12	rest
